text,label
distri@@ bution almajiri relief mate@@ rials nsele@@ ctive prose@@ cution looting,0
"why [ en : [EN:are] ] people dr [ user ] her , ah moagyimi ana so someone [ en : [EN:can] ] ’ t adve @ @ rtise in peace too , [ en : [EN:this] ] thing be bad haba 🤦‍ [ emoji ]",1
typical almajiri u [EN:know] cows,1
clock evening expose zoo named,1
pure african mentally they always [ en : [EN:think] ] [ en : [EN:that] ] whoever is older is [ en : [EN:the] ] best . nkura @ @ asesɛm ne nkurasa kasa sei .,1
ipob leader mazi nnamdi kanu called ndigbo [EN:take] precau@@ tionary medical advice dreaded covid seri@@ ously saying virus real,0
cost living ghana high insanely high [EN:dare] stay ghana born monkey nsome morons nigeria [EN:use] data cussing dead grandad nonsense,0
ever felt stupid remember people believe chris@@ tians worship gods,0
ah moagyimi anaa ? [ emoji ] he shouldn ’ t join a party ? ? is he not entitled to join a party of his choice,1
wo de3 gyimie de3 [ emoji ],1
gyimifuo what 's [EN:this] ? kuraseni ! ! wo trouser s3 kowe@@ nsani mahama .,1
el rufai ganduje narrowly elec@@ tions despite huge presence almajiri [EN:would] outcome elec@@ tions without millions almajiri role gods prepared almajiri future question [EN:would] love [EN:ask] seer,0
israel bias revenge caused another war send chris@@ tians die cause means nothing jesus said killing one person today justify some@@ thing happened islamic state iraq levant isil,1
ganduje started depor@@ tation spread [EN:like] wired fire wike started demol@@ ition hotel soon poli@@ tical oppo@@ nents become target,0
i under @ @ stand [ en : [EN:the] ] pain she [ en : [EN:has] ] [ en : [EN:and] ] every @ @ thing bro [ en : [EN:but] ] tv so de3 no matter what i wont [ en : [EN:call] ] my parent a demon ei . demon ? sasab @ @ onsam ? adaamoni ? [ emojii ],1
mazi nnamdi kanu nigerian consti@@ tution support ipob seeking biafra lawful nfor janj@@ aweed buharist buhar@@ eedin buhari@@ dinotu hungry humble slaves atiku@@ lated idiots rest thezoo morons believe support proscr@@ iption ipob,1
chair repub@@ lican caucus washi@@ ngton state came@@ rican chris@@ tians right kill males support abortion sex marriage comm@@ unism long first [EN:give] infidels oppor@@ tunity renounce,1
southern people almajiri evacu@@ ating city origin,0
great start nto dutch friends fans nd november perfo@@ rming willem twee den bosch nl nwe present new album end sept@@ ember nmany thanks arne van os van den abeelen,0
aboa yi y3 kurasini [ emoji ] `` [ user ] : curi@@ osity !,1
media friendly ? mo k ) dey nsem hunu wie w ) tourn@@ ament na moab3pr3 media friendly,1
hahaha@@ hahaha herh fii wagyimi roff lmao `` [ user ] : [EN:the] league table as at now ``,1
zoo called nigeria ncdc fake number corona virus patients stigma@@ tizing innocent nige@@ tians,1
say mingle rich una go gree mingle almajiri go serve u rubbish,0
almajiri surely consume north continue sending south east clean teach trade convert chris@@ tians,0
absolute bull saying chris@@ tians islamic terro@@ rists chris@@ tians kill gay talk genders abortion obvi@@ ously say ridic@@ ulous,0
it [ en : [EN:was] ] such a pleasure to watch [ en : [EN:the] ] kids at kurasini enjoy thems @ @ alvas [ en : [EN:this] ] [ en : [EN:has] ] [ en : [EN:been] ] [ en : [EN:the] ] greatest part of my jubilee thks chaba ur [ en : [EN:the] ] best,1
nigeria turn almajiri,1
pres@@ ident federal republic nigeria xac [EN:work] [EN:may] god almighty continue guide protect enemies always wish dead pray live long [EN:see] done c,0
war crimes comm @ @ itted biafrans chris @ @ tians till armed forcas zoo nigeria mu,1
[EN:look] wat u saying wats u nigeria youths [EN:know] sex sex sex brains full rubbish [EN:come] venti@@ lator u build sex dead brains idiot,0
laughs almajiri ode,1
captain nie . gyimie nie,1
let ’ s [ en : [EN:leave] ] [ en : [EN:these] ] nonsense takes in 2023. learn how to createe [ en : [EN:and] ] be in healthy relati @ @ onships na moagyimi kwraaa dodo,1
ah wey girl [EN:that] ? ne kasa nyɛ koraa,0
though came world pour sand garri left foll@@ owers needed mother day [EN:want] commi@@ serate ipob families depa@@ rture leader,0
dss arrests man created viral video buhari fake wedding,0
oppr@@ essed sout@@ herns mass@@ acred chris@@ tians nigeria stop using facebook products presence nigeria [EN:would] nece@@ ssary revenue [EN:would] gain zoo figa bribes better pray chri@@ stian supp,1
attacks jews attacks chris@@ tians tells god [EN:want] kill,1
biafra [EN:must] restored gener@@ ation biafra dna religion unless,0
"it 's better than given it away to forei @ @ gners [ en : [EN:like] ] komenda sugar factory . ibrahim mahama [ en : [EN:has] ] dzata cement factory , empl @ @ oying thou @ @ sands , incl @ @ uding subsi @ @ diary jobs , akuffo addo [ en : [EN:has] ] [ en : [EN:been] ] rich since child @ @ birth , [ en : [EN:has] ] he even open a toffee kioks to employ just an shs leaver ? . aboafunu .",1
even bring animal [EN:call] buhari zoo called nigeria accept pres@@ ident umu efulefus [EN:must] keep exposing aka nsi ha abago ha onu aso rock empty,1
many cars using verges arne maybe police [EN:used] enforce fines makes mockery closure normal members peter,0
thank conti@@ nuing compadre left specific said sanusi almajiri scho@@ oling system goodluck [EN:ask] show proof,0
brother claim ipob online actually zoo reality,1
[EN:want] away election time abi vilified gej wanted solve almajiri brouhaha til left office issue [EN:come] haunt reap sowed midget quit fretting,0
noticed influx almajiri area share us,0
under@@ stand frust@@ ration losers elect@@ ronic almajiri,0
really diff@@ icult [EN:tell] conning video chris@@ tians really stupid,1
fear much zoo called nigeria right fulanis killing people every@@ where,1
btw seen fake prophecy exposed disg@@ raced god god true righ@@ teous jesus [EN:come] name greatest true prophecy nbuhari vpo [EN:shall] die ngr [EN:shall] move fake prophecy [EN:shall] die jesus name,0
"bog rate mpo ni , then bank [EN:and] abokyi dea [ emoji ]",1
called religion peace main goal brain @ @ washed life kill jews chris @ @ tians send thouu @ @ sands pigs surround jeru @ @ salem places pigs,1
breaking dss parades man created circu@@ lated fake video buhari wedding sadiya umar farouq,0
iseee biafra moving train either [EN:get] board left behind stand way crushed god bless biafra god bless usa god bless israel god bless ipob nnamdi kanu donald trump benjamin netha,0
[EN:this] one you vex [EN:but] you dey [EN:call] mahama drunkard aboaa,1
problem problem full evil islamic agenda freedom better slavery,1
pmb pres@@ ident sw vote almajiri vote educated ones created stress,0
robbie fowler john arne riise paddy berger roberto carlos left footed rockets,0
eve crash talk nrevenge dreamers clone wars vol iv buhari times,0
"he said agenda 111 is not possible , now prom @ @ ising to complete it [ en : [EN:and] ] employ nurses , [ en : [EN:the] ] one building tham [ en : [EN:will] ] he employ ndwan ?",1
belong zoo called nigeria even self google known zoo nigeria real biafran man,1
pres@@ ident ceo arne sorenson highl@@ ighted china occu@@ pancy rates went single digit low february percent april signal rebound way mar,0
told biafraud republic guess,0
hmmmm nigeria really becoming zoo nation animal kingdom,1
seems sorry murderer chris@@ tians got killed nread macabees perm@@ itted fight enemies attack [EN:try] kill us,0
"i say i [EN:have] a nephew , you dey bizz me say e be boy or girl .. wo ti na awu anaasɛ gyimi na w'agyimi",1
yes sir,0
[EN:going] northern states sepa@@ rated zoo fraud@@ ulent consti@@ tution adopt sharia law right eyes amp efulefu still shouting one nigeria indiv@@ isible nonsense unity divide r,1
went twaats giving praise gov wikee wikee also suppo @ @ rting ipob [ en : [EN:know] ] wike belongs pdp supp @ @ orted atiku fulani also fulani northern agenda ndon [ en : [EN:think] ] guys [ en : [EN:need] ] retrace steps maka oh,1
ipob behind njoin keep reading [EN:like] us ngoddess staysafe,0
nigeria zoo country someone recorded broa@@ dcast femi adeshina buhari media aid told whole world boy wearing face mask buhari [EN:look] alike looking youn,1
"sancho nu nso dieerr , w'asa ti s33 maguire p3p333p3",1
belgium conv@@ icted jihad terro@@ rists released end nindia viral video muslim says coron@@ avirus hindu consp@@ iracy cwhen time comes kill naust@@ ralia man converts islam thre@@ atens behead chris@@ tians walks free,1
peace tole@@ rance forgot suppress woman beat rape pedop@@ hiles cut heads disagree kill chris@@ tians jews throw gay buil@@ dings hang gay people yeeeahhh thanks,1
every@@ thing [EN:that] man says is stupid . is n't he [EN:the] one who said he 's conte@@ sting [EN:for] prez to bring glory to npp or some@@ thing ? gyimisɛm sei,1
zoo [EN:call] nigeria gone,1
wicke@@ dness hate nigeria inner core heart damnable zoo british exper@@ iment republic nigeria,1
talking yahoo boys ode buruku talking brothers ojadu oga ordinary mf person worth bc better almajiri [EN:get] mega forehead bolo omo l,0
proudly wear junk sports movies rockstar stupid obscene deride chris@@ tians dress modestly dress dignity anyway,0
christ dead [EN:may] free god [EN:want] us free [EN:tell] northern nigeria let us go biafra,0
buhari made big mistake calling nnamdi kanu foll @ @ owers terro @ @ rists late nigeriaa unity negot @ @ iable chief ayo adebanjo backs ipob acti @ @ vists,1
dead man even wife criti@@ cized ipob spoke@@ person dead fuck crea@@ mated,0
sees children almajiri,0
s3 me ka ho asem aa medi n ’ at3m fri s3 nea cka y3 no y3 gyimisem paaa mo manp @ @ anyin no n ’ adwene nny3 adwuma anaa,1
me ne obi ɛɛtwe manso na wafrɛ me inte @ @ rview bɛbis @ @ abisa me nsɛmme nso me gyimii nti na maba w ’ abɔ wo dam papa . who be you ?,1
lol nigeria [EN:need] dead pres@@ ident,1
ipob sowore audacity prim@@ itive dictator skc ogbonnia,0
allowed american children demanded accepted muslims pray times day chri@@ stian country group cult goal kill destroy chris@@ tians infidels rights privi@@ leges benefits prote@@ ction th,0
mazi nnamdi kanu leader indig@@ enous people biafra ipob sunday caut@@ ioned igbos [EN:going] church trav@@ eling amid scourge coron@@ avirus nread,0
disme@@ mbered dreams nonly enrolled school nbut consc@@ ripted army almajiri nhe native street nnysc apparel body incl@@ uding feet nhe [EN:could] compe@@ lling corps member nbut dreams got disme@@ mbered,0
maame ah ɔmpɛ adwareɛ deɛ anka me pɛ sɛ me yɛ agyanka mmom,1
respec@@ tfully disagree sir hezb@@ ollah hamas labelled terro@@ rists [EN:know] history ince@@ ssant rocket using civi@@ lians shield knife attacks israeli state class ipob cause seeking indepe@@ ndence,0
high respect ceo arne sorenson,0
go join ipob,0
fake chris@@ tians infect kill fake chri@@ stian rela@@ tives good,0
giddifok obolo tui ! please paaaa ! ! !,1
daily mail march spat craig bellamy john arne riise took place vale lobo la manga [EN:know],0
nigeria zoo nrock empty,1
corru@@ ption kills system corru@@ ption evidence system dead nigeria nation walking dead effi@@ cient system combat basic nece@@ ssity life shithole,1
dead dele surp@@ rised amp apc group knows rules wars humanity conf@@ irmed apc inten@@ sional nigeria espec@@ ially obeying court orders,0
maldini rugani dybala matuidi many even spain former pres@@ ident real madrid,0
sources without names buhari hate hashtag nbad english natte@@ ntion nthis tweet screams fake news ntoo bad handle noble,0
governor better wakeup [EN:make] sure entry deceased almajiri covid resisted nthey welcomed,0
sorry mr pres @ @ ident zoo nigeria name fake buhari covid vrius,1
he sleeps [ en : [EN:with] ] you [ en : [EN:and] ] later turns you into a punching bag [ en : [EN:and] ] you 're still [ en : [EN:with] ] him ? ? wagyimi papa !,1
covid fulani herdsmen [EN:may] [EN:use] time sneak nurture evil aim sending south strange phc arrested number rumuigbo cow auct@@ ioned trucks,0
durlston trampers [EN:use] around country park amp also arne [EN:get] wild scheme easy join covers ground ordinary buggies nre hire us,0
oga pls go rest enugu say happe@@ nings worry enough plate almajiri boko haram needs urgent atte@@ ntion channel energy,1
still,0
episode st part soo emot@@ ional xba xba bond pure arya loves trusts neil lot last part haha kumbh@@ karan para@@ matma neil also messy hair mela sapna pula ho gayo isi saal mein xad xad,0
tuutuu [ en : [EN:for] ] prost @ @ itute ashawo is derived from ashewo ( yuroba ),1
mmarima nyinaa ye atorofo hwehwe nea odi tw3 no yie na wotoa so,1
people trapped nigeria hopel @ @ essly hopalass hope survival lies ipob fulani islami @ @ zation agenda quickly muving world [ en : [EN:must] ] needful lata divide nigeria,1
wait cthe exper@@ ience,0
buhari dead jubril sudani nigeria pres @ @ ident nnamdi kanu saying,1
