text,label
he shud go [ en : [EN:find] ] [ en : [EN:work] ] cuz dem no go empluy him . azaa nkoaa,1
obaa hemaa 3da he mame sima na wosam bawee sei de3 woy3 den adwuma . [ emoji ] concert rap paa full bankuta,1
person giv almajiri food cn eat clothes still wore,0
leade@@ rship voted good job bad boy governor mind nonsense distr@@ actors please [EN:make] sure end almajiri system kaduna always stand,0
fucking moron stupid goof suppose bible inst@@ ructs chris@@ tians,0
wallahii guys damn stingy [ en : [EN:know] ] amp [ en : [EN:know] ] knocking doors food guar @ @ antee one [ en : [EN:see] ] food espec @ @ ially south @ @ erners [ en : [EN:look] ] almajiri disdain time nice [ en : [EN:want] ] steal,1
sir fought amp released thou@@ sands ipob members stood dieing prisons amp even talk air arrested tomorrow ipob member amp joe igbokwe arrested fraud abandon fight joe igbokwe,0
nigeriaa zoo indeed,1
anyone steps side head@@ lines dict@@ ators [EN:work] appeal weak start dirty [EN:work] nchri@@ stians bad kill kill nthen [EN:call] gun ban nit big part plan nlook thir,0
nigeria really zoo begging gover @ @ nment local govar @ @ nment matter reached comp @ @ anies [ en : [EN:like] ] first instance details tax advice appro @ @ priate disinf @ @ ectant process pay,1
many chris@@ tians sunni alawites assy@@ rians yazidis kurds shi foreign imported us israeli saudi funded wahabi terr@@ orist organi@@ zations kill love suppo@@ rting israel us [EN:use] ksa destroy middle east,1
i am blessed list @ @ ening to [ en : [EN:the] ] kids sing a capella just blew me ! its one of [ en : [EN:those] ] days which [ en : [EN:will] ] remain [ en : [EN:with] ] me forever ! [ hashtag ] ch,1
[ en : [EN:tell] ] away nd amen @ @ dment rights bear arms self defense good idea [ en : [EN:want] ] kill chris @ @ tians jews fight back turn next peaceful group,1
called yest@@ erday shud dragged nige@@ rians [EN:think] reli@@ gious makes u special wrong us people start dropping dead stop churches parishes abroad [EN:dare] open dere nigeria,0
yes let [EN:leave] guy wants kill us white people chris@@ tians ever@@ ybody else rape kill murder yes [EN:think] friends dick head,1
wat happend to [EN:the] guys [EN:that] ntafo in [EN:the] party [EN:and] went to hosp — i [EN:have] no idea,0
every illegal commuter northern part almajiri wao,0
article beats devos trump adminis@@ tration remember level disre@@ spect deval@@ uation teachers teaching arguably peak arne duncan obama adminis@@ tration fully bed neoli@@ beral ed reform,0
honesty say almajiri [EN:might] forced enter home home someone [EN:know] kill food supply ones known raised hell leaders failed us,0
thing rema@@ ining nigeria name ipob dest@@ royed atroc@@ ities image compl@@ etely lateef jakande,0
sad millions nige @ @ rians put hopas dullard urchins nlet lies continue expir @ @ ation date nis,1
stro@@ ngman your rap dey smell [EN:like] gutter [EN:for] mallata market [ emoji ] apon@@ kyeba te s3 wo,1
proudly xaa thank arne,0
[ en : [EN:saa] ] wicked zoo northern polit @ @ icians northern leaders transp @ @ orting alma @ @ jiris kano suut @ @ heast spread covid conf @ @ irmed virus killed many part zoo nigeria fulanis known distr @ @ action,1
"3y3 azaa nkoaa nanso meti , azamati",1
good times,0
you no [EN:get] any video fa wo gyimisɛm kɔ,1
cleared without efforts nso gej went consti@@ tution shot foot embarked propa@@ ganda almajiri schools never saw light day abi,0
nkura@@ sefoɔ . .. animgu@@ asefoɔ . ... nyame be tua mo ka ... no game plan ... frɛ frɛ kɔbɔ . .. gyimi saaaa,1
trust trump much [EN:dare] [EN:take] drugs end [EN:like] many people hosp@@ itals dead nigeria taking let [EN:know] goes,0
chris @ @ tians caree unborn babies human beings walk planet comma @ @ ndmant thouu shalt kill happened love thy neighbor,1
