text,label
happy new year family beloved sweetheart friends twitter especially great biafrans ipob worldwide,0
covid governors playing politics almajiri ganduje accuses el rufai,0
untitled portrait man pronounced halftone narne jacobson nink cont crayon ballpoint pen graph paper,0
please igbo children walkers ipob member,0
united kingdom america xaa c nzoo finish oooo nlegendary zoological republic nigeria,1
funny stupid experience christian woman last month christians exploiting child entered men rooms obtain property christian cult acting vulnerable really,1
madam fake news know job though attack mnk ipob lol,0
tell girl online almajiri stop oo,1
ato be too fresh!..........who said tweaa,1
thing keeping one nigeria together money share abuja bribles give ambassadors thank god oil price drop let see money share zoo fallen aka used tissue pa,1
see jonathan almajiri boys,0
yeye man tyrant buhari killing innocent ipob members umu igbo kept silent telling us wike bastard oga go sit,1
future nigeria liberation lies hands youth wake amp fight good leadership nigeria remain zoo failed states,0
listen c c c c c one karen nigeria right c c,0
zoo nigeria must destroy truth,1
brussels belgium sequence arne quinze,0
lo go show go gone zoo zone kenya long wrong slave go kenya show lo lou jew kenya move nigeria show lo kuwait show go kenya row german sea sow jew go kenya,1
well fyi shiites vote believe nigeria country zakzaky like president governors way like ipob dig man,1
notice countries cases manageable large gathering orea church event wks later new cases uk lockdown time dead thing happening nigeria take seriously becomes serious,0
year ago arne sorenson ceo marriott world largest hotel chain announced co would return b shareholders buybacks dividends share price jumped announcement nnow company begun furloughing tens thousands,0
date family nigeria xac c nrejected date pick abi pray choke whatever eat date c,0
pentagon dreamed christians action cia orange caligula fucking stupid know general gives deflection diversion gives war mongers want vision global apocalypse,0
wonder nigeria called zoo pic flag terrorist killer fulanis given amnesty recruit military kill officially biafran land,1
biafrans ipob possess superior intelligence expose terrorists threat arms government nigeria armed forces boko haram fulani herdsmen humanity,1
christians assad hands might usa supplied sunni jihadis arms money intel kill,0
tf arne,1
peoples digest online body northern southern organisations peace accord forum paf dismissed comments credited nnamdi kanu leader indigenous people biafra ipob first lady aisha buhari,0
even know almajiri thing contempt degrading wish ones practising marry many wives make kids take care burden nuisance tne whole world,0
oh wants kill christians,1
sending numbers almajiri state respective states,0
oshili christians kill us ignorance,0
let get covid kill christians make trump anti christ,1
ipob behind,0
yeah christians shall kill rebellious kids instead ndeuteronomium nfucking hypocrites,1
marriott ceo arne sorensen says revenues,0
certainly would get dragged names common call trucks cdangote trucks nis cdangote inscribed painted c nis aware unlawful migration aided franchise trucks owners drivers c,0
california flip combination many stupid people evil people decent moral humans rare california may think christians christians ca stupid category,0
ipob see talk,0
bokoharam fulani herdsmen isis west africa direct hand work atiku buhari abyri el rufai rest evil politicians nigeria partly sponsored dangote corona visit u really soon,0
staying home government built isolation centre kindly go business already dead nigeria,0
tell research contingent arne jacobsen egg chair original obvs,0
god preserved buhari life purpose fulfilled god chooses lives longer wishing dead nif buhari dies today die fulfilled glorious exit nbut believe want live longer good nigeria amp humanity,0
Woyɛ panyin na sua kasa w'anum kasa nyɛ,1
every thing zoo called nigeria upside loot called assets truth called lies impostor called president,1
christians stupid weak turning cheeks contrary live real power marvelous light actively wait one bring justice glory joy deeply rooted truth stand firmly love genuinely,0
acknowledge nazi nnamdi kanu ipob sets free sabotagious sheep aturu abeg mind focus hail biafra,0
Ah wait oo so they sent this template to kozie and she that job? Girl no wabon oooo herh😂😂😂.,1
arne xba,0
child years old longer almajiri southern governors take note,0
love christians call others stupid perfect,0
chuckles knows christians kill making disparaging remarks certain followers another faith tolerant xbb,0
nigeria country zoo,1
let listen begging twitter like almajiri children,0
adesewa brain future generations end zoo called nigeria,1
Sometimes some of you dey use this app dey talk gyimie. Your father when he complete ein house. You saf you build? S3 Lamine Yamal. Preko @DonTyFlex,1
"Kwasia aboa gyimifout te s3 wo, wo maame tw3 s3 Tema harbor, kuraseni odwan m3333!!! Wogyimi aaa wo maame de awo wo wc kurom ha, aboafunu",1
message police niger delta state must free biafra ipob people niger delta message zoo nigeria police,1
nice one njohn arne riise njames milner njerzy dudek nderrick asamoah nget involved,0
frustration must kill nwhat concern biafrat nigeria president,0
today yaribas joined kanu call beloved kingdom earth zoo disrespect calling nigeria zoo even upgrade meant,1
idiots like virus likely kill many pple country murderers name christians,0
pdp would escalated increase artificial budget nthey quickly notice lapses make money flow nawon jibiti niye pdpigs,0
Wo ho fi s3 pr3ko. She's fleecing the public purse,1
bauchi ncitizen salim yusuf xahra musa yusuf abba aliyu engaged state religious trad amp pol leaders taken advocacy local govts bauchi state nthey great mobilisers nthank much great voices almajiri children,0
breaking donald trump rally nfour ipob activists discharge acquitted nfour ipob activists illicitly detained following donald trump rally th january discharged acquitted thanks,0
covik thank opening eyes evil called almajiri well protected north religion,0
fg tell us feed almajiri,0
ipob killed one single person whole nigeria boko haram killing people country non arrested war looking see right time comes,0
nnamdi kanu dead buried ipob knows grave delusional mind nnamdi kanu impostor whoever uses social media accounts recent days seems overdrive gear,1
really disgusting certain posts posted jewish presence sites anything one posted however kill christians goddamn day long nothing ever said,1
So those championing for John mahama to come back are they stupid or something? Aah!! I just don't understand it🤦🥱. What kind of foolishness is that? Chaaai!!!.  Gyimie adwuma sei de3 3nny3. Kowensani kuronfuo Wei???!,1
hahaha nop go rape underage muslim girls like muhammad nthat millions almajiri north today hope clear,1
pdp allowing bigots ipob speak nsome ipob members worse bmc folks nsenseless imbecilic idiotic,0
much collect counter great ipob sure,0
get volunteer everyone age bracket die lori want parents devout evangelical christians die want kill parents,0
That was some good khebab.... Shout out to abokyi.!!!,0
succes arne,0
ipob equipped militarily hamas hezbollah nigeria would wiped face earth hamas hezbollah terrorist organisations pls,0
guy fight nthis opinion cool fine go almajiri tnk,1
ipob zidane always tear head,0
nigeria love hate turned zoo,0
dead speak every loot discovered abacha nigeria hail thee,0
seriously advocacy jamb made balance cut mark north south cut mark brains cause problem country told u rule look gombe almajiri,0
"Alata yaw, up your game oo na moagyimi dodo 😄😄😄",1
"Me dɔ, nhyira no Mantɔ , Meyɛ ohianiba a menim mpaebɔ, Sɛ wotan me a mɛma w'asetena ayɛ sɛ Dumsor, 🐅",1
ez floette fair song lyrics arne funner finale learned easy,0
see interest federal government feeding school children feeding almajiri majority school feeding almajiri region,0
Seek for their guidance na Wabon tooo much.,1
iniside biafra ipob news today,0
yes oh gotta unique online almajiri,0
alcohol approved churches even mosque fear coronavirus nmy worries stoned drinking alcohol died nothing esp muslims nthis reality stone builder rejected become pillar,0
"Abokyi grade no dɔɔso dodo na German products nti saaa. Stop the oversized neck shape, let it be slim fit and look cute on the players and supporters who’ll purchase, produce quality texture which is sweat friendly and give quality raincoats to the team.",1
afraid covid rendered nigeria useless especially buhari amp fellow demons never escape judgment ones fearing lives citizens already dead corpse walking,1
arne arrived mums made roast lamb life good,0
christian mean allowing slaughtered kill christians christianity faith devil wants disarmed unwilling defend,1
