"id","tweet","label"
"train_twi_00001","Then abokyi do you fariwaaa oh ah my guy 😂😂😂😂 abokyi chuck your eye with that timberland top 😂😂😂😂😂😂😂😂","Abuse"
"train_twi_00002","Gyimisɛm sei aa. I have so many thoughts and questions.","Abuse"
"train_twi_00003","Leather wey Gucci n Gabbana dey take do production, we dey consume am as WELE😂😂... Hmm Koo Bibinii","Hate"
"train_twi_00004","Wo y3 tuutuu nii paaaaaaa","Abuse"
"train_twi_00005","Darwin; masa nsɛmfoo bɛn na wo maa wo defenders no yɛ kyerɛ me wɔ agoprɔmma no so no? Pep; anha, nanka me nnyae wo na toto ntena basabasa. Wodwene sɛ me werɛ  afi deɛ woyɛɛ me wɔ community shield no? Darwin; oo firihɔ, wotiri ho kwabokwabo sɛ kooltal so.","Abuse"
"train_twi_00006","We dont have Corrupt Leaders anymore. We have wicked Leaders. Sasabonsam fuor","Abuse"
"train_twi_00007","And ECG came to spoil the party. Nkuraasesɛm sei","Abuse"
"train_twi_00008","African witches will never help us win World Cup or even better our economies but gyimisɛm sei yaaaa na aka ɔmo","Abuse"
"train_twi_00009","Wabon wosan w) ahomaso)? Ow","Abuse"
"train_twi_00010","I go send wotiri so! Monitoring spirit.","Abuse"
"train_twi_00011","A hen doesn’t lay eggs bro, A fowl does!! Wabon kraa too much","Abuse"
"train_twi_00012","Eeiii, nti biribiara na y'ɛde gyimie ɛkɔ ho?
Oh daabi💔💔💔","Abuse"
"train_twi_00013","This world paaa de3, driver wey Dey Drive 3funu dey fear death hmmm.

Siaaa kwa na, you want me to die den you drive me anaa, masa woboaa koraaa you go die 🤣🤣🤣
","Abuse"
"train_twi_00014","@fokndeezy come and look at your fanbase 😂😂😂😂😂😂
Animguasefoɔ nkoaa","Abuse"
"train_twi_00015","Kumasi people will still not learn sense and will vote for the tikelenkele. Kumasi roads are deplorable as fuck","Abuse"
"train_twi_00016","Feel free to do more research on that. Stop being emotionally distress when you fail to accept that wabon. Siaaa","Abuse"
"train_twi_00017","Short man wey you do raster you look like. Sasabonsam","Abuse"
"train_twi_00018","Talking stage dea nkwasiasem oo, they can give u straight answers saaa but when u stop texting too it turn asem.","Abuse"
"train_twi_00019","Alatafuo gyimie! 😂😂","Hate"
"train_twi_00020","When Roman Abramovic sold Chelsea you know Nkwasiasem sei Mo nnim nyansa baako sei","Abuse"
"train_twi_00021","Somebody dey ein somewhere you go tweet plenty about am,he just tweet, ‘you don’t want be found boy,don’t play’ p3 you dey dey call police😂 Otweaa kos3 br3wo ho ase, agr) mmr3 w)h)","Abuse"
"train_twi_00022","Chale why you people dey give these people attention like that? 😂 which story time? Which behind what scene? Moagyimi anaa?","Abuse"
"train_twi_00023","Na ɔyɛ gyimisɛm no anka yen yɛ no deɛn?? Yen krɔkrɔ no?? Nipa no ɛgyimi aa ma yen ka kyerɛ no","Abuse"
"train_twi_00024","So poch no go put a stop this nonsense??? Gyimisɛm ben ni??? Ah","Abuse"
"train_twi_00025","Sancho nu nso dieerr, w'asa ti s33 Maguire p3p333p3","Abuse"
"train_twi_00026","Girl come your dm to tell you how sorry she is and because you think you got sarknatives at your back, you took screenshot of the chat and captioned “hw3 ne Jon”….. nigga woy3 kwasia papa herh","Abuse"
"train_twi_00027","Wabon, wokor p3 gerr a ka twi ehh?😭","Abuse"
"train_twi_00028","Y'all know say ""Ken"" be my name but nkwasis3m dey be u ppl nti u dey me ""wokwasia"" saa na ay3d3n ahhh 😭","Abuse"
"train_twi_00029","A Ga man wishing his Ex girlfriend happy birthday MAN: Happy birthday Tuutuu yoo.😂😂😂😂😂😂😂😂😂😂😂😂","Abuse"
"train_twi_00030","“You are funny ooo”. No I’m broke and I dey take pressure ka nkwasiasem sometimes.","Abuse"
"train_twi_00031","Rydee you turn blogger aponkyeba","Abuse"
"train_twi_00032","Do you people understand rivalry? Moagyimi oo","Abuse"
"train_twi_00033","Some cocaine dealer will say the youth are lazy. Siaman","Abuse"
"train_twi_00034","Kwasia ba, adwee ba, nantwie ba, odwan mɛɛɛɛhh and again he added woni twaasini.😂😂😂😂 u will come back or u death?  anaa wose u go bring him back to GH?  ask madam Fufufunu 🤣 ","Abuse"
"train_twi_00035","🤣🤣 nti hwan na wabon sisia? Gradute dier eii mayor","Abuse"
"train_twi_00036","What stupid things won’t you see on this app??😂😂 they say casemiro be better than this player 😂😂😂.. Tweaa","Abuse"
"train_twi_00037","Ah akoa nu wabodam anaa","Abuse"
"train_twi_00038","Nkwasiafoc,Urgly Akufo addo himself is more corrupt than Mahama’s appointees.Owusu Bempeh’s face is like a donkey’s mouth.Go and sit somewhere.This airbus propaganda will not see day light.Ennnnnnnfa.Ndc is winning this elections.Your Bawumia and Npp are Thieves and Criminals","Hate"
"train_twi_00039","wabon! how is review cancel?","Abuse"
"train_twi_00040","No nso moagyimi paa o…is that not clear enough?","Abuse"
"train_twi_00041",")se last week people tweaa'd,today they are tweaa'ing,tomorrow they will tweaaa...agor) w) parliament paa oo","Abuse"
"train_twi_00042","Esquire aa, wabon sei 😭😭","Abuse"
"train_twi_00043","He will go and visit in the next 14 days??!! That deserves a really dirty slap aaaaaaah ! Na akoa wei oy3 kwasea mapanin saaa siaaa, when he was a radio host , he was doing Cho Cho Cho aboafunu bi ba! Now he’s overly rich and comfortable so he decides to visit a site in 2 wks","Abuse"
"train_twi_00044","Sorrrrmi sarknatives@shattawalegh Sm empire ah wi control this Game if u no Dey bab u can go n drink river pra n bed siaaa kwa 😂😂","Abuse"
"train_twi_00045","Ok but non of ur family members can spit better bars than @sarkodie Sia mpanyin all u do is to say things that will bring people’s spirit down. Woho fon s3 kelewele ne nkate3","Abuse"
"train_twi_00046","Mke nobro lie you, Alatafuo de3 s3 population ne enter.
Wei🤣😂","Hate"
"train_twi_00047","Nipa aa wagyimi de3 nyansa ben na wonim. Siato","Abuse"
"train_twi_00048","Moagyimi gyimi paa","Abuse"
"train_twi_00049","I hear say, Obolo tui wagyimii Dj Slim dey  fvck ihn own pikin! How, can u fvck your own child, Ei,  Information Wc Wiase o..!! 😳🥹😭 You’re no saint but you’ve been talking nonsense abt Shatta Wale. Just imagine this Obolo tui sleeping on you, talking of his child. Hm..!! 😅🙏🏿","Hate"
"train_twi_00050","U are obviously sick in the head. All this insults cause of a show? I'm not surprised mpo. Mode3 nkuraasesɛm yɛ mo d3 oo. Mtcheww","Abuse"
"train_twi_00051","Now Forex nor chop me 😂😂😂😂 W'anum kankan tes3 womame twem kankan nu","Abuse"
