text,label
"Let’s see how you look like. I would never fuck a goat if it looks like you!!!!",1
"It seems everyone is fighting now",0
"Now ebi @~NY🎀  and @~Skinny",0
"Chale enter the space wai @~NY🎀",0
"Now I’m a misogynist wow",0
"Skinny the texts are implying you gay bro 🤣🤣🤣",1
"Wouldn’t that make u a feminist",0
"U wish u could fuck me",1
"You don’t understand misogyny? What are you doing in the uni? Drop outtttt drop outtt",1
"🤣hm it’s gonna be a long night",0
"You smelling twat. Leave here you frog",1
"We’re back on frogs?🤣",0
"Make we dey relax err. Messages just dey fly for here",0
"They brought back the frog 😭😭",0
"this day must be celebrated every year🤣🤣🤣🤣",0
"The frog word is an abomination 😭",0
"education really be important o",0
"@~𝒪𝒽𝑒𝓃𝑒𝓌𝒶𝒶💗  please ooo defend skinnny we beg 😂😂😂",0
"i beg tag them make we seeeeeeeee",0
"The funny thing is I never insulted her",0
"You’re a disgrace. Don’t play with me again. We’re not on the same level. Gettout!",1
"Please I’m for the girls😂😂",0
"you want to bring it yourself?🤣",0
"misogynistic fool be wild asl ei",1
"Ooh na me your husband 😂😂💀",0
"Playing victim? Weak ass nigga",1
"masa?😒 ",0
"Is @~Skinny a babe or a dude??",0
"Personally I won’t let that slide😌",0
"U are claiming sleeping with men is embarrassing so maybe u prefer goats instead",1
"I think he meant being called one but idk",0
"this is the new f word",0
"Back down with the little dignity you have left. Odwan",1
"I'm sorry, this isn't exactly logical.",0
"Oh @~Skinny abeg don't fight with a babe like that",0
"And maybe she likes goats add that one",1
"Acaam's razor, what is more likely?",0
"@~Skinny look at your mates. You see the difference?",1
"So rydee who be the goat?",0
"My boy not get data",0
"back to back to back eii",0
"You guys know animals oh",0
"But herrr @~NY🎀 thought u was calm oo",0
"me ? ...I'm friends with everyone",0
"Tinga tinga ",0
"@~NY🎀 it’s okay darling",0
"The feel disrespected for me assuming she likes goats but she doesn’t see the disrespect in claiming sleeping with men is embarrassing ",0
"I was waiting for you🤣",0
"Kwasia change the topic. Next time don’t play with me.",1
"@~Skinny , enter space, they are saying things oo 💀💀",0
"But what @~𝓟𝓻𝓮𝓽𝓽𝔂𝓖𝓲𝓻𝓵🌸💗  do this one???",0
"Skinny nor get data for X ooo just for iMessage games",0
"How person wey do visual art go relate",0
"Things I personally wouldn’t take tbh",0
"There are like 400 boys in this group, you decided to do Superman, awn 🤣",0
"U don’t know me if u think im from a poor family",0
"dude but the other kind",0
"Bro, it's the confidence with which they are saying it 😭🤣",0
"i beg on his behalf please😭",0
"I don’t know oo",0
"So it's basically two ladies fighting",0
"Ah ? Boy you dey diss like that oh nahh",0
"I can tell. You’re not exposed medc",1
"You people it’s okay 😹😹",0
"Today dier I’ve laughed oo ei😭",0
"This is too much , icl",0
"Do me Momo I beg",0
"I didn’t text u",0
"the whole Vac only today i actually smile",0
"I could go on. He’s just too useless",1
"“xx” 🥹 ",0
"Today my boy meet up 😂😂😂",0
"Cuz it surely ain’t me",0
"@~Skinny we dey wait you oo",0
"Oh pope skinny write the English some er",0
"That's not a nice comeback",0
"I said don’t text me again",0
"yeah bro headucator and a fan 🤣🤣🤣",0
"u see o , the way i dey under you like this for example",0
"Ah Chris too get babe😂😂Chaii wonders shall never end",0
"don’t mind this dbee🤣🤣",1
"Oh this is too hard heerhhh",0
"But @~NY🎀 you're definitely my type",0
"@~Kwabla the way them dey defend you dier charle 🤣🤣",0
"@~Skinny  man send iMessage games mk we play",0
"The way compssa is in the Twitter space, we will be there more Mark Atta will say that we have been calling people frog in group 🤣",0
"Yes yes Mama has spoken 😂🙌🏾",0
"Me ebi @~𝒪𝒽𝑒𝓃𝑒𝓌𝒶𝒶💗 Adey want",0
"@~NY🎀Insults is the best u can do what other thing are good for?",1
"Ei you dey want collect some too?",0
"i’m waiting for @~NY🎀 ‘s reply",0
"hm, won’t you stop?",0
"You want to collapse my marriage?",0
"Boys Dey use this opportunity well well🤣🤣herh me too lemme give shout out to my crush",0
"Sometimes, knowing when to back out is important, the comebacks aren't hitting too 😔",0
"make i tag for you?",0
"Ooh 😂😂😂 just helping you build it 💀😂😂",0
"ow naaaa she’s very friendly",0
"nobody invite you big bro😔",0
"Man man 😂😂😂 enor be you 💀😂😂",0
"You erh. You are cheating on me",0
"Yawa kraaa🤧I just Kai the way dem diss the broke boy chale I go take wotowoto for here oo😂😂",0
"Friendly? U see how she disintegrated the man/woman???",0
"Naaa I was talking to @~𝒪𝒽𝑒𝓃𝑒𝓌𝒶𝒶💗   😂💀💀💀",0
"she doesn't know me",0
"So in today's battle, @~𝓟𝓻𝓮𝓽𝓽𝔂𝓖𝓲𝓻𝓵🌸💗 and @~NY🎀 won",0
"what if Queeny isn’t done yet",0
"Kwabla nor Dey fit you saf 😂😂😂😂",0
"yeaaaa valid question. the way she dey wait before she go drop ein shots de3",0
"@~𝓟𝓻𝓮𝓽𝓽𝔂𝓖𝓲𝓻𝓵🌸💗 own was a fair fight",0
"cause ano fine ano get money too😔",0
"Thank you very much. God bless Nana Yaa was right men are not good",0
"Bossu just watch them jie eye😂",0
"That’s very embarrassing. I’m sorry I disrupted today’s proceedings.",0
"Next sem Adey come class spy everybody ein face 🤣",0
"that’s nice of you",0
"👀👀👀👀👀champions don’t say sorry oo",0
"Weytin man do man sia kwa",1
"One day they’ll just call of of us to the deans office😭",0
"@~Grandson masa come answer question",0
"Talk I want to hear",0
"Eiii @~Skinny  come see oo",0
"She scored like 12 goals, 1 goal no dey change anything 😂",0
"Your man go Dey hustle for ein family oo chale",0
"Hw3 how as a get match 🥶@~Skinny",0
"Kabutey adey beg go bed🙏 ",0
"we dey wait you big bro",0
"The pains behind these laughing emojis 😔",0
"what get money pass you for this class?🤣",0
"Make I do apology letter too?😭😹🤣",0
"I’m sorry, I’m sorry ✋🏾😭🤚🏾",0
"Urs wasn't brutal enough",0
"Naa your own de3 @+233 50 028 4906 for come leak we",0
"Can’t you forget about it?😭",0
"Today 2 insults touch me oo @+233 50 028 4906say 90% what what about pretty girl sake of I Dey watch nyash now @~NY🎀 say poor man pikin herhhh😭😭😭",1
"The poor one touch me",0
"Them take person ein kiddie come school, you say them poor",1
"Make we keep quiet before we go take am this evening 😭😭",0
"Instead of them to ask for our account number 😭😂they are ……",0
"I go jie eye cry",0
"@~Skinny de boys Dey your top ooo",0
"Nah I no dey ein top",0
"Unor go play COD today Sia 😂😂😂😂😂💀💀",1
"How you saying you don't have tolerance for males, the insults and bla bla bla de3 if u no be virgin aaa yawa ooo ",1
"I’m not a virgin",0
"So? ",0
"Maybe some jon guy dey use her oo buh how she dey talk to a guy de3 that's too much",0
"Adey watch one piece rydee😔",0
"Please I'm not talking to you, I can't take yout insult and harsh words",0
"Today de3 we bo go bed",0
"vim, make i continue my fire force erh",0
"Eiiii naaa @~𝓟𝓻𝓮𝓽𝓽𝔂𝓖𝓲𝓻𝓵🌸💗   your matter nor good",0
"She spitting facts I couldn’t",0
"But how she was talking to the guy is too much ah, it's only a virgin who should have the gut to say that, but you thay have been explored de3 yawa oooooo..... 3na goat , 3na poor ohw",1
"Baby girl what I do with my coochie is not your business.",0
"Pretty want claim gv in body",0
"I know but you were too harsh ei",0
"Oh you should relax la after the video then we find out ourselves 😭😂",0
"be like another war dey come🤣",0
"Defending a man? Girl please",0
"It's like someone with 10body count seeking for a male virgin , you see it doesn't make sense ",0
"If you’re typing, type well",0
"It’s not wrong to not be a virgin",0
